merchant_id,domain,feed_url,feed_type,item_count,validated_at,last_http_status,sample_item_url,sample_item_title,validation_error
005b1d19-fee2-5b08-8892-4c439cf19603f7784755,ranifly-bikini.myshopify.com,https://ranifly-bikini.myshopify.com/collections/all.atom,atom,25,2026-08-28T16:46:03.976419+00:00,200,https://raniflybikini.com/products/miami-bottoms,MIAMI BOTTOMS,
0069b20e-6322-51c2-ae71-77c0893960fd7e24d058,five-stride-skate-shop.myshopify.com,https://five-stride-skate-shop.myshopify.com/collections/all.atom,atom,25,2026-08-28T16:46:04.031447+00:00,200,https://fivestride.com/products/bionic-artiste-toe-stop,Bionic Artiste Toe Stop,
0031shop.nl,0031shop.nl,https://0031shop.nl/collections/all.atom,atom,25,2026-08-28T16:46:04.037275+00:00,200,https://www.0031shop.nl/products/trixie-premio-tuna-bites-50-gr,Trixie Premio Tuna Bites 50 Gr,
00777158-93c5-55ce-b039-7ea91e9729cb79b2a970,sunextools.com,https://sunextools.com/collections/all.atom,atom,25,2026-08-28T16:46:04.181702+00:00,200,https://sunextools.com/products/3-8-dr-15mm-deep-universal-impact-socket,"3/8"" DRIVE 15MM DEEP UNIVERSAL IMPACT SOCKET",
00703b77-7011-57c6-99e5-1027ab266d2958ad067c,4c9bfa.myshopify.com,https://4c9bfa.myshopify.com/collections/all.atom,atom,25,2026-08-28T16:46:04.243651+00:00,200,https://dwixt.com/products/56x44-plastic-pallet-beverage,"56x44 Plastic Pallet – Beverage & Glass, 7-Runner",
005e1cf6-c648-5272-888d-78005f740d686e7137f9,7e03d6-7d.myshopify.com,https://7e03d6-7d.myshopify.com/collections/all.atom,atom,25,2026-08-28T16:46:04.355195+00:00,200,https://blessingsgrowmeadows.com/products/powdered-laundry-detergent-unscented,Powdered Laundry Detergent - Unscented,
006fb1dd-26b6-5101-a009-61c9bfec50d040904bf9,nurilens.myshopify.com,https://nurilens.myshopify.com/collections/all.atom,atom,25,2026-08-28T16:46:04.393228+00:00,200,https://nurilens.co/products/lu-rosewood-sun,Lu Rosewood Sun,
00514942-3f3d-4493-b992-04e11f152406,3d0ee4.myshopify.com,https://3d0ee4.myshopify.com/collections/all.atom,atom,25,2026-08-28T16:46:04.420523+00:00,200,https://nb08shop.com/products/t-shirt-meru-jacquemus-blanc-neuf,T-shirt Méru Jacquemus - Blanc - Neuf,
00667a5e-9b03-50e6-9eb5-4dcf3c6eb43df38feaba,clemson-legacy-designs.myshopify.com,https://clemson-legacy-designs.myshopify.com/collections/all.atom,atom,4,2026-08-28T16:46:04.611116+00:00,200,https://www.collegiatelegacydesigns.com/products/texas-a-m-decorative-wall-plaque,Texas A&M Class Ring Decorative Plaque,
0071821e-129b-517a-a3f0-100fc7df4d829cf1edb5,kegg-us.myshopify.com,https://kegg-us.myshopify.com/collections/all.atom,atom,6,2026-08-28T16:46:04.615732+00:00,200,https://kegg.tech/products/return-shipping,Return Shipping,
0072f441-9062-5955-bd95-5a527b6942a4ead0469d,merakiwraps.myshopify.com,https://merakiwraps.myshopify.com/collections/all.atom,atom,25,2026-08-28T16:46:04.718790+00:00,200,https://www.merakiwraps.com/products/garden-of-love-handmade-money-envelope-single-piece,Garden of Love Handmade Money Envelope (Single Piece),
